"Date","Province","Recovered"
2020-08-03,"FS",10149
2020-08-04,"FS",10582
2020-08-05,"FS",10582
2020-04-17,"GP",479
2020-04-18,"GP",479
2020-04-19,"GP",479
2020-04-20,"GP",545
2020-04-21,"GP",545
2020-04-22,"GP",545
2020-04-23,"GP",843
2020-04-24,"GP",843
2020-04-25,"GP",843
2020-04-26,"GP",843
2020-04-27,"GP",843
2020-04-28,"GP",843
2020-05-02,"GP",948
2020-05-03,"GP",948
2020-05-04,"GP",979
2020-05-05,"GP",979
2020-05-06,"GP",1036
2020-05-07,"GP",1036
2020-05-08,"GP",1036
2020-05-10,"GP",1247
2020-05-13,"GP",1343
2020-05-14,"GP",1547
2020-05-15,"GP",1552
2020-05-16,"GP",1583
2020-05-17,"GP",1583
2020-05-18,"GP",1657
2020-05-19,"GP",1671
2020-05-20,"GP",1694
2020-05-21,"GP",1694
2020-05-22,"GP",1776
2020-05-23,"GP",1776
2020-05-24,"GP",1840
2020-05-25,"GP",1899
2020-05-26,"GP",1919
2020-05-27,"GP",1955
2020-05-28,"GP",1993
2020-05-29,"GP",2019
2020-05-30,"GP",2035
2020-05-31,"GP",2060
2020-06-01,"GP",2060
2020-06-02,"GP",2060
2020-06-03,"GP",2169
2020-06-04,"GP",2222
2020-06-05,"GP",2344
2020-06-06,"GP",2344
2020-06-07,"GP",2428
2020-06-08,"GP",2428
2020-06-09,"GP",2575
2020-06-10,"GP",2825
2020-06-11,"GP",2825
2020-06-12,"GP",2948
2020-06-13,"GP",3075
2020-06-14,"GP",3207
2020-06-15,"GP",3348
2020-06-16,"GP",3442
2020-06-17,"GP",3716
2020-06-18,"GP",3756
2020-06-19,"GP",4001
2020-06-20,"GP",4273
2020-06-21,"GP",4673
2020-06-22,"GP",5620
2020-06-23,"GP",5620
2020-06-24,"GP",5856
2020-06-25,"GP",5856
2020-06-26,"GP",7132
2020-06-27,"GP",7712
2020-06-28,"GP",8580
2020-06-29,"GP",9738
2020-06-30,"GP",10534
2020-07-01,"GP",10534
2020-07-02,"GP",12957
2020-07-03,"GP",14097
2020-07-04,"GP",15935
2020-07-05,"GP",16887
2020-07-06,"GP",19779
2020-07-07,"GP",19779
2020-07-08,"GP",19779
2020-07-09,"GP",23804
2020-07-10,"GP",23804
2020-07-11,"GP",29038
2020-07-12,"GP",32958
2020-07-13,"GP",33514
2020-07-14,"GP",36146
2020-07-15,"GP",45743
2020-07-16,"GP",45743
2020-07-17,"GP",51256
2020-07-18,"GP",51256
2020-07-19,"GP",58512
2020-07-20,"GP",58512
2020-07-21,"GP",66434
2020-07-22,"GP",77397
2020-07-23,"GP",77397
2020-07-24,"GP",82126
2020-07-25,"GP",92346
2020-07-26,"GP",92346
2020-07-27,"GP",97485
2020-07-28,"GP",102614
2020-07-29,"GP",105614
2020-07-30,"GP",111061
2020-07-31,"GP",117099
2020-08-01,"GP",126784
2020-08-02,"GP",126784
2020-08-03,"GP",126784
2020-08-04,"GP",126784
2020-08-05,"GP",129375
2020-04-17,"KZN",96
2020-04-18,"KZN",96
2020-04-19,"KZN",96
2020-04-20,"KZN",151
2020-04-21,"KZN",151
2020-04-22,"KZN",151
2020-04-23,"KZN",241
2020-04-24,"KZN",241
2020-04-25,"KZN",241
2020-04-26,"KZN",241
2020-04-27,"KZN",241
2020-04-28,"KZN",241
2020-05-02,"KZN",375
2020-05-03,"KZN",375
2020-05-04,"KZN",415
2020-05-05,"KZN",415
2020-05-06,"KZN",420
2020-05-07,"KZN",420
2020-05-08,"KZN",420
2020-05-10,"KZN",606
2020-05-13,"KZN",618
2020-05-14,"KZN",689
2020-05-15,"KZN",795
2020-05-16,"KZN",806
2020-05-17,"KZN",817
2020-05-18,"KZN",818
2020-05-19,"KZN",818
2020-05-20,"KZN",842
2020-05-21,"KZN",842
2020-05-22,"KZN",880
2020-05-23,"KZN",880
2020-05-24,"KZN",1111
2020-05-25,"KZN",1168
2020-05-26,"KZN",1180
2020-05-27,"KZN",1180
2020-05-28,"KZN",1180
2020-05-29,"KZN",1180
2020-05-30,"KZN",1180
2020-05-31,"KZN",1248
2020-06-01,"KZN",1248
2020-06-02,"KZN",1248
2020-06-03,"KZN",1248
2020-06-04,"KZN",1260
2020-06-05,"KZN",1378
2020-06-06,"KZN",1378
2020-06-07,"KZN",1378
2020-06-08,"KZN",1378
2020-06-09,"KZN",1566
2020-06-10,"KZN",1572
2020-06-11,"KZN",1572
2020-06-12,"KZN",1572
2020-06-13,"KZN",1810
2020-06-14,"KZN",1810
2020-06-15,"KZN",1810
2020-06-16,"KZN",2133
2020-06-17,"KZN",2133
2020-06-18,"KZN",2133
2020-06-19,"KZN",2527
2020-06-20,"KZN",2527
2020-06-21,"KZN",2594
2020-06-22,"KZN",2769
2020-06-23,"KZN",2849
2020-06-24,"KZN",2947
2020-06-25,"KZN",2947
2020-06-26,"KZN",3197
2020-06-27,"KZN",3417
2020-06-28,"KZN",3417
2020-06-29,"KZN",3602
2020-06-30,"KZN",3602
2020-07-01,"KZN",3770
2020-07-02,"KZN",4111
2020-07-03,"KZN",4197
2020-07-04,"KZN",4197
2020-07-05,"KZN",4197
2020-07-06,"KZN",4811
2020-07-07,"KZN",4890
2020-07-08,"KZN",5307
2020-07-09,"KZN",5505
2020-07-10,"KZN",5953
2020-07-11,"KZN",6021
2020-07-12,"KZN",6021
2020-07-13,"KZN",7521
2020-07-14,"KZN",7521
2020-07-15,"KZN",8968
2020-07-16,"KZN",8968
2020-07-17,"KZN",10403
2020-07-18,"KZN",10624
2020-07-19,"KZN",11055
2020-07-20,"KZN",13494
2020-07-21,"KZN",13920
2020-07-22,"KZN",18067
2020-07-23,"KZN",18786
2020-07-24,"KZN",18786
2020-07-25,"KZN",21251
2020-07-26,"KZN",21251
2020-07-27,"KZN",24350
2020-07-28,"KZN",27682
2020-07-29,"KZN",32483
2020-07-30,"KZN",32483
2020-07-31,"KZN",35113
2020-08-01,"KZN",36358
2020-08-02,"KZN",37127
2020-08-03,"KZN",44266
2020-08-04,"KZN",44664
2020-08-05,"KZN",51857
2020-04-17,"LP",18
2020-04-18,"LP",18
2020-04-19,"LP",18
2020-04-20,"LP",21
2020-04-21,"LP",21
2020-04-22,"LP",21
2020-04-23,"LP",24
2020-04-24,"LP",24
2020-04-25,"LP",24
2020-04-26,"LP",24
2020-04-27,"LP",24
2020-04-28,"LP",24
2020-05-02,"LP",25
2020-05-03,"LP",25
2020-05-04,"LP",27
2020-05-05,"LP",27
2020-05-06,"LP",27
2020-05-07,"LP",27
2020-05-08,"LP",27
2020-05-10,"LP",28
2020-05-13,"LP",30
2020-05-14,"LP",35
2020-05-15,"LP",36
2020-05-16,"LP",37
2020-05-17,"LP",37
2020-05-18,"LP",37
2020-05-19,"LP",39
2020-05-20,"LP",42
2020-05-21,"LP",42
2020-05-22,"LP",51
2020-05-23,"LP",51
2020-05-24,"LP",53
2020-05-25,"LP",55
2020-05-26,"LP",65
2020-05-27,"LP",67
2020-05-28,"LP",75
2020-05-29,"LP",97
2020-05-30,"LP",140
2020-05-31,"LP",143
2020-06-01,"LP",144
2020-06-02,"LP",145
2020-06-03,"LP",145
2020-06-04,"LP",146
2020-06-05,"LP",149
2020-06-06,"LP",158
2020-06-07,"LP",158
2020-06-08,"LP",158
2020-06-09,"LP",158
2020-06-10,"LP",175
2020-06-11,"LP",175
2020-06-12,"LP",175
2020-06-13,"LP",185
2020-06-14,"LP",185
2020-06-15,"LP",199
2020-06-16,"LP",213
2020-06-17,"LP",218
2020-06-18,"LP",229
2020-06-19,"LP",236
2020-06-20,"LP",236
2020-06-21,"LP",246
2020-06-22,"LP",257
2020-06-23,"LP",270
2020-06-24,"LP",303
2020-06-25,"LP",329
2020-06-26,"LP",348
2020-06-27,"LP",387
2020-06-28,"LP",413
2020-06-29,"LP",434
2020-06-30,"LP",520
2020-07-01,"LP",520
2020-07-02,"LP",570
2020-07-03,"LP",594
2020-07-04,"LP",594
2020-07-05,"LP",635
2020-07-06,"LP",653
2020-07-07,"LP",665
2020-07-08,"LP",665
2020-07-09,"LP",665
2020-07-10,"LP",665
2020-07-11,"LP",991
2020-07-12,"LP",1147
2020-07-13,"LP",1147
2020-07-14,"LP",1147
2020-07-15,"LP",1492
2020-07-16,"LP",1492
2020-07-17,"LP",1685
2020-07-18,"LP",1867
2020-07-19,"LP",2042
2020-07-20,"LP",2144
2020-07-21,"LP",2518
2020-07-22,"LP",2518
2020-07-23,"LP",2781
2020-07-24,"LP",3022
2020-07-25,"LP",3243
2020-07-26,"LP",3466
2020-07-27,"LP",3565
2020-07-28,"LP",3565
2020-07-29,"LP",3637
2020-07-30,"LP",4700
2020-07-31,"LP",5044
2020-08-01,"LP",5044
2020-08-02,"LP",5512
2020-08-03,"LP",5524
2020-08-04,"LP",5524
2020-08-05,"LP",5620
2020-04-17,"MP",9
2020-04-18,"MP",9
2020-04-19,"MP",9
2020-04-20,"MP",14
2020-04-21,"MP",14
2020-04-22,"MP",14
2020-04-23,"MP",15
2020-04-24,"MP",15
2020-04-25,"MP",15
2020-04-26,"MP",15
2020-04-27,"MP",15
2020-04-28,"MP",15
2020-05-02,"MP",18
2020-05-03,"MP",18
2020-05-04,"MP",22
2020-05-05,"MP",22
2020-05-06,"MP",22
2020-05-07,"MP",22
2020-05-08,"MP",22
2020-05-10,"MP",22
2020-05-13,"MP",24
2020-05-14,"MP",34
2020-05-15,"MP",44
2020-05-16,"MP",49
2020-05-17,"MP",49
2020-05-18,"MP",53
2020-05-19,"MP",57
2020-05-20,"MP",58
2020-05-21,"MP",58
2020-05-22,"MP",58
2020-05-23,"MP",58
2020-05-24,"MP",58
2020-05-25,"MP",61
2020-05-26,"MP",61
2020-05-27,"MP",62
2020-05-28,"MP",67
2020-05-29,"MP",67
2020-05-30,"MP",67
2020-05-31,"MP",72
2020-06-01,"MP",86
2020-06-02,"MP",86
2020-06-03,"MP",86
2020-06-04,"MP",86
2020-06-05,"MP",94
2020-06-06,"MP",94
2020-06-07,"MP",102
2020-06-08,"MP",102
2020-06-09,"MP",111
2020-06-10,"MP",116
2020-06-11,"MP",116
2020-06-12,"MP",116
2020-06-13,"MP",116
2020-06-14,"MP",132
2020-06-15,"MP",138
2020-06-16,"MP",138
2020-06-17,"MP",146
2020-06-18,"MP",156
2020-06-19,"MP",156
2020-06-20,"MP",156
2020-06-21,"MP",176
2020-06-22,"MP",181
2020-06-23,"MP",181
2020-06-24,"MP",199
2020-06-25,"MP",207
2020-06-26,"MP",239
2020-06-27,"MP",239
2020-06-28,"MP",337
2020-06-29,"MP",376
2020-06-30,"MP",464
2020-07-01,"MP",487
2020-07-02,"MP",520
2020-07-03,"MP",585
2020-07-04,"MP",621
2020-07-05,"MP",621
2020-07-06,"MP",651
2020-07-07,"MP",668
2020-07-08,"MP",668
2020-07-09,"MP",779
2020-07-10,"MP",779
2020-07-11,"MP",910
2020-07-12,"MP",910
2020-07-13,"MP",910
2020-07-14,"MP",1179
2020-07-15,"MP",1300
2020-07-16,"MP",1464
2020-07-17,"MP",1597
2020-07-18,"MP",1793
2020-07-19,"MP",1958
2020-07-20,"MP",2159
2020-07-21,"MP",2348
2020-07-22,"MP",3435
2020-07-23,"MP",4018
2020-07-24,"MP",4403
2020-07-25,"MP",4995
2020-07-26,"MP",4995
2020-07-27,"MP",5494
2020-07-28,"MP",5812
2020-07-29,"MP",6393
2020-07-30,"MP",6854
2020-07-31,"MP",6854
2020-08-01,"MP",8124
2020-08-02,"MP",8674
2020-08-03,"MP",8674
2020-08-04,"MP",10736
2020-08-05,"MP",11632
2020-04-17,"NC",10
2020-04-18,"NC",10
2020-04-19,"NC",10
2020-04-20,"NC",13
2020-04-21,"NC",13
2020-04-22,"NC",13
2020-04-23,"NC",13
2020-04-24,"NC",13
2020-04-25,"NC",13
2020-04-26,"NC",13
2020-04-27,"NC",13
2020-04-28,"NC",13
2020-05-02,"NC",20
2020-05-03,"NC",20
2020-05-04,"NC",20
2020-05-05,"NC",20
2020-05-06,"NC",20
2020-05-07,"NC",20
2020-05-08,"NC",20
2020-05-10,"NC",23
2020-05-13,"NC",24
2020-05-14,"NC",28
2020-05-15,"NC",20
2020-05-16,"NC",24
2020-05-17,"NC",24
2020-05-18,"NC",27
2020-05-19,"NC",27
2020-05-20,"NC",27
2020-05-21,"NC",27
2020-05-22,"NC",27
2020-05-23,"NC",27
2020-05-24,"NC",28
2020-05-25,"NC",28
2020-05-26,"NC",29
2020-05-27,"NC",30
2020-05-28,"NC",30
2020-05-29,"NC",31
2020-05-30,"NC",31
2020-05-31,"NC",31
2020-06-01,"NC",31
2020-06-02,"NC",33
2020-06-03,"NC",33
2020-06-04,"NC",33
2020-06-05,"NC",34
2020-06-06,"NC",38
2020-06-07,"NC",41
2020-06-08,"NC",41
2020-06-09,"NC",41
2020-06-10,"NC",42
2020-06-11,"NC",42
2020-06-12,"NC",52
2020-06-13,"NC",52
2020-06-14,"NC",52
2020-06-15,"NC",52
2020-06-16,"NC",52
2020-06-17,"NC",52
2020-06-18,"NC",81
2020-06-19,"NC",97
2020-06-20,"NC",97
2020-06-21,"NC",110
2020-06-22,"NC",112
2020-06-23,"NC",112
2020-06-24,"NC",112
2020-06-25,"NC",112
2020-06-26,"NC",128
2020-06-27,"NC",186
2020-06-28,"NC",186
2020-06-29,"NC",186
2020-06-30,"NC",186
2020-07-01,"NC",204
2020-07-02,"NC",232
2020-07-03,"NC",232
2020-07-04,"NC",236
2020-07-05,"NC",237
2020-07-06,"NC",237
2020-07-07,"NC",237
2020-07-08,"NC",254
2020-07-09,"NC",267
2020-07-10,"NC",277
2020-07-11,"NC",308
2020-07-12,"NC",310
2020-07-13,"NC",354
2020-07-14,"NC",503
2020-07-15,"NC",508
2020-07-16,"NC",601
2020-07-17,"NC",627
2020-07-18,"NC",723
2020-07-19,"NC",772
2020-07-20,"NC",970
2020-07-21,"NC",1087
2020-07-22,"NC",1100
2020-07-23,"NC",1152
2020-07-24,"NC",1177
2020-07-25,"NC",1190
2020-07-26,"NC",1223
2020-07-27,"NC",1223
2020-07-28,"NC",1244
2020-07-29,"NC",1275
2020-07-30,"NC",1341
2020-07-31,"NC",1389
2020-08-01,"NC",1517
2020-08-02,"NC",1874
2020-08-03,"NC",2381
2020-08-04,"NC",2388
2020-08-05,"NC",2859
2020-04-17,"NW",6
2020-04-18,"NW",6
2020-04-19,"NW",6
2020-04-20,"NW",6
2020-04-21,"NW",6
2020-04-22,"NW",6
2020-04-23,"NW",6
2020-04-24,"NW",6
2020-04-25,"NW",6
2020-04-26,"NW",6
2020-04-27,"NW",6
2020-04-28,"NW",6
2020-05-02,"NW",13
2020-05-03,"NW",13
2020-05-04,"NW",13
2020-05-05,"NW",13
2020-05-06,"NW",16
2020-05-07,"NW",16
2020-05-08,"NW",16
2020-05-10,"NW",16
2020-05-13,"NW",17
2020-05-14,"NW",19
2020-05-15,"NW",28
2020-05-16,"NW",28
2020-05-17,"NW",28
2020-05-18,"NW",28
2020-05-19,"NW",28
2020-05-20,"NW",28
2020-05-21,"NW",28
2020-05-22,"NW",29
2020-05-23,"NW",29
2020-05-24,"NW",29
2020-05-25,"NW",29
2020-05-26,"NW",29
2020-05-27,"NW",39
2020-05-28,"NW",45
2020-05-29,"NW",45
2020-05-30,"NW",45
2020-05-31,"NW",45
2020-06-01,"NW",45
2020-06-02,"NW",59
2020-06-03,"NW",59
2020-06-04,"NW",59
2020-06-05,"NW",73
2020-06-06,"NW",73
2020-06-07,"NW",73
2020-06-08,"NW",73
2020-06-09,"NW",88
2020-06-10,"NW",104
2020-06-11,"NW",104
2020-06-12,"NW",128
2020-06-13,"NW",128
2020-06-14,"NW",152
2020-06-15,"NW",152
2020-06-16,"NW",152
2020-06-17,"NW",175
2020-06-18,"NW",175
2020-06-19,"NW",175
2020-06-20,"NW",175
2020-06-21,"NW",248
2020-06-22,"NW",248
2020-06-23,"NW",256
2020-06-24,"NW",291
2020-06-25,"NW",291
2020-06-26,"NW",421
2020-06-27,"NW",433
2020-06-28,"NW",433
2020-06-29,"NW",433
2020-06-30,"NW",651
2020-07-01,"NW",802
2020-07-02,"NW",865
2020-07-03,"NW",865
2020-07-04,"NW",865
2020-07-05,"NW",865
2020-07-06,"NW",1104
2020-07-07,"NW",1335
2020-07-08,"NW",1456
2020-07-09,"NW",1574
2020-07-10,"NW",1688
2020-07-11,"NW",1715
2020-07-12,"NW",2191
2020-07-13,"NW",2474
2020-07-14,"NW",2575
2020-07-15,"NW",2578
2020-07-16,"NW",2694
2020-07-17,"NW",2694
2020-07-18,"NW",2839
2020-07-19,"NW",2890
2020-07-20,"NW",3241
2020-07-21,"NW",3241
2020-07-22,"NW",3914
2020-07-23,"NW",4019
2020-07-24,"NW",4795
2020-07-25,"NW",5447
2020-07-26,"NW",6076
2020-07-27,"NW",6441
2020-07-28,"NW",6638
2020-07-29,"NW",7181
2020-07-30,"NW",8160
2020-07-31,"NW",8256
2020-08-01,"NW",8444
2020-08-02,"NW",8751
2020-08-03,"NW",8872
2020-08-04,"NW",9206
2020-08-05,"NW",9243
2020-04-17,"WC",205
2020-04-18,"WC",205
2020-04-19,"WC",205
2020-04-20,"WC",216
2020-04-21,"WC",216
2020-04-22,"WC",216
2020-04-23,"WC",236
2020-04-24,"WC",236
2020-04-25,"WC",236
2020-04-26,"WC",236
2020-04-27,"WC",236
2020-04-28,"WC",236
2020-05-02,"WC",779
2020-05-03,"WC",779
2020-05-04,"WC",833
2020-05-05,"WC",833
2020-05-06,"WC",1122
2020-05-07,"WC",1122
2020-05-08,"WC",1122
2020-05-10,"WC",1607
2020-05-13,"WC",1950
2020-05-14,"WC",2573
2020-05-15,"WC",2857
2020-05-16,"WC",3097
2020-05-17,"WC",3521
2020-05-18,"WC",3731
2020-05-19,"WC",4363
2020-05-20,"WC",5105
2020-05-21,"WC",5105
2020-05-22,"WC",6126
2020-05-23,"WC",6126
2020-05-24,"WC",6525
2020-05-25,"WC",7221
2020-05-26,"WC",7844
2020-05-27,"WC",8504
2020-05-28,"WC",9157
2020-05-29,"WC",9830
2020-05-30,"WC",10508
2020-05-31,"WC",11099
2020-06-01,"WC",11431
2020-06-02,"WC",12436
2020-06-03,"WC",13696
2020-06-04,"WC",14917
2020-06-05,"WC",16433
2020-06-06,"WC",17355
2020-06-07,"WC",17366
2020-06-08,"WC",19101
2020-06-09,"WC",20791
2020-06-10,"WC",22862
2020-06-11,"WC",22862
2020-06-12,"WC",25435
2020-06-13,"WC",26736
2020-06-14,"WC",27527
2020-06-15,"WC",28615
2020-06-16,"WC",30236
2020-06-17,"WC",31824
2020-06-18,"WC",31824
2020-06-19,"WC",34067
2020-06-20,"WC",35156
2020-06-21,"WC",35559
2020-06-22,"WC",35958
2020-06-23,"WC",37234
2020-06-24,"WC",37234
2020-06-25,"WC",39475
2020-06-26,"WC",40979
2020-06-27,"WC",42172
2020-06-28,"WC",42636
2020-06-29,"WC",42636
2020-06-30,"WC",43120
2020-07-01,"WC",44938
2020-07-02,"WC",46515
2020-07-03,"WC",47929
2020-07-04,"WC",49362
2020-07-05,"WC",49928
2020-07-06,"WC",50271
2020-07-07,"WC",52157
2020-07-08,"WC",53881
2020-07-09,"WC",55534
2020-07-10,"WC",55534
2020-07-11,"WC",57134
2020-07-12,"WC",59070
2020-07-13,"WC",59492
2020-07-14,"WC",61756
2020-07-15,"WC",61756
2020-07-16,"WC",63731
2020-07-17,"WC",67181
2020-07-18,"WC",68410
2020-07-19,"WC",68410
2020-07-20,"WC",68410
2020-07-21,"WC",70061
2020-07-22,"WC",71491
2020-07-23,"WC",72695
2020-07-24,"WC",73897
2020-07-25,"WC",74987
2020-07-26,"WC",75355
2020-07-27,"WC",75595
2020-07-28,"WC",76835
2020-07-29,"WC",76835
2020-07-30,"WC",78921
2020-07-31,"WC",79841
2020-08-01,"WC",80750
2020-08-02,"WC",80956
2020-08-03,"WC",81313
2020-08-04,"WC",82447
2020-08-05,"WC",83528
2020-04-17,"UNKNOWN",0
2020-04-18,"UNKNOWN",0
2020-04-19,"UNKNOWN",0
2020-04-20,"UNKNOWN",0
2020-04-21,"UNKNOWN",0
2020-04-22,"UNKNOWN",0
2020-04-23,"UNKNOWN",0
2020-04-24,"UNKNOWN",0
2020-04-25,"UNKNOWN",0
2020-04-26,"UNKNOWN",0
2020-04-27,"UNKNOWN",0
2020-04-28,"UNKNOWN",0
2020-05-02,"UNKNOWN",0
2020-05-03,"UNKNOWN",0
2020-05-04,"UNKNOWN",0
2020-05-05,"UNKNOWN",0
2020-05-06,"UNKNOWN",0
2020-05-07,"UNKNOWN",0
2020-05-08,"UNKNOWN",0
2020-05-10,"UNKNOWN",0
2020-05-13,"UNKNOWN",0
2020-05-14,"UNKNOWN",0
2020-05-15,"UNKNOWN",0
2020-05-16,"UNKNOWN",0
2020-05-17,"UNKNOWN",0
2020-05-18,"UNKNOWN",0
2020-05-19,"UNKNOWN",0
2020-05-20,"UNKNOWN",0
2020-05-21,"UNKNOWN",0
2020-05-22,"UNKNOWN",0
2020-05-23,"UNKNOWN",0
2020-05-24,"UNKNOWN",0
2020-05-25,"UNKNOWN",0
2020-05-26,"UNKNOWN",0
2020-05-27,"UNKNOWN",0
2020-05-28,"UNKNOWN",0
2020-05-29,"UNKNOWN",0
2020-05-30,"UNKNOWN",0
2020-05-31,"UNKNOWN",0
2020-06-01,"UNKNOWN",0
2020-06-02,"UNKNOWN",0
2020-06-03,"UNKNOWN",0
2020-06-04,"UNKNOWN",0
2020-06-05,"UNKNOWN",0
2020-06-06,"UNKNOWN",0
2020-06-07,"UNKNOWN",0
2020-06-08,"UNKNOWN",0
2020-06-09,"UNKNOWN",0
2020-06-10,"UNKNOWN",0
2020-06-11,"UNKNOWN",0
2020-06-12,"UNKNOWN",0
2020-06-13,"UNKNOWN",0
2020-06-14,"UNKNOWN",0
2020-06-15,"UNKNOWN",0
2020-06-16,"UNKNOWN",0
2020-06-17,"UNKNOWN",0
2020-06-18,"UNKNOWN",0
2020-06-19,"UNKNOWN",0
2020-06-20,"UNKNOWN",0
2020-06-21,"UNKNOWN",0
2020-06-22,"UNKNOWN",0
2020-06-23,"UNKNOWN",0
2020-06-24,"UNKNOWN",0
